사업번호,사업명,문서_소관기관,소관기관_정규화,분야_정규화,부문_정규화,프로그램_정규화,회계기금_정규화,지원형태_정규화,예산2026_통합_백만원,예산2026_통합_억원,2026열1_라벨,2026열2_라벨,2026열1_백만원,2026열2_백만원,내역사업_건수,사업시행방법,사업시행주체
1,전산운영경비(정보화),감사원,감사원,일반·지방행정,일반행정,감사활동 및 행정지원,일반회계,직접,10300.0,103.0,요구안,본예산(B),14762.0,10300.0,4,직접수행,감사원
2,개인정보 안전활용 선도기술 개발(R&D),개인정보보호위원회,개인정보보호위원회,일반·지방행정,정부자원관리,개인정보보호 기반 데이터 활용 선도,일반회계,출연,6138.0,61.38,요구안,본예산(B),6138.0,6138.0,3,출연,"개인정보보호위원회, 한국인터넷진흥원"
3,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),개인정보보호위원회,개인정보보호위원회,일반·지방행정,정부자원관리,개인정보보호 기반 데이터 활용 선도,일반회계,출연,2660.0,26.6,요구안,본예산(B),2660.0,2660.0,2,출연,"개인정보보호위원회, 한국인터넷진흥원"
4,안전한 데이터 활용 지원,개인정보보호위원회,개인정보보호위원회,일반·지방행정,정부자원관리,개인정보보호 기반 데이터 활용 선도,일반회계,출연,6456.0,64.56,요구안,본예산(B),6456.0,6456.0,3,출연,"개인정보보호위원회, 한국인터넷진흥원"
5,112시스템운영(정보화),경찰청,경찰청,공공질서 및 안전,경찰,범죄예방및치안상황대응강화,일반회계,직접,21372.0,213.72,요구,조정(B),20916.0,21372.0,1,직접수행,경찰청
6,경찰정보화기반고도화(정보화),경찰청,경찰청,공공질서 및 안전,경찰,치안인프라구축,일반회계,직접,78334.0,783.34,요구,조정(B),78334.0,78334.0,1,직접수행,경찰청
7,과학기술기반군중 밀집관리기술개 발(R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,1976.0,19.76,조정(B),증감 (B-A),1976.0,,0,출연,"과학치안진흥센터 ※ 다부처 사업 - 경찰청(주), 행안부"
8,과학수사시스템구축(정보화),경찰청,경찰청,공공질서 및 안전,경찰,범죄수사활동,일반회계,직접,4126.0,41.26,요구,조정(B),4126.0,4126.0,1,직접수행,경찰청 형사국 과학수사심의관 (舊 과학수사관리관)
9,과학적범죄수사고도화 기술개발(R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,3068.0,30.68,조정(B),증감 (B-A),3068.0,-1461.0,0,출연,과학치안진흥센터
10,불법마약류대응을위한 현장기술개발(R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,4932.0,49.32,조정(B),증감 (B-A),4932.0,3432.0,0,출연,"과학치안진흥센터 ※ 다부처 사업 - 경찰청(주), 관세청, 과기정통부 ･ 내역 1 (불법마약류 대응을 위한 현장기술 개발) 경찰청･관세청 1:1 매칭 ･ 내역 2 (다크웹 및 가상자산 거래추적 연계 마약수사통합시스템 개발) 경찰청･과기정통부 1:1 매칭 ･ 내역 3 (다중어레이 복합센서 기반 마약탐지 및 은닉위치 추론 AI시스템) 경찰청 단독"
11,사이버범죄수사단서통합분석 및추론시스템개발(R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,6136.0,61.36,조정(B),증감 (B-A),6136.0,2496.0,0,출연,과학치안진흥센터 / 경찰청(공통)
12,사이버수사지원기술개발 (R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,8736.0,87.36,조정(B),증감 (B-A) (B-A)/A,8736.0,3432.0,0,출연,과학치안진흥센터 / 경찰청(공통)
13,차세대지능형순찰플랫폼개발 (R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,3465.0,34.65,조정(B),증감 (B-A),3465.0,2773.0,0,출연,과학치안진흥센터 / 경찰청(공통)
14,치안데이터활용기술개발 (R&D),경찰청,경찰청,공공질서 및 안전,경찰,과학치안활성화,일반회계,출연,1560.0,15.6,조정(B),증감 (B-A),1560.0,1560.0,0,출연,과학치안진흥센터
15,형사･교통･여성청소년범죄 수사역량강화,경찰청,경찰청,공공질서 및 안전,경찰,범죄수사활동,일반회계,직접,19620.0,196.2,요구,조정(B),21570.0,19620.0,1,직접수행,경찰청
16,고용노동행정(정보화),고용노동부,고용노동부,사회복지,노동,고용노동행정지원,일반회계,직접,23739.0,237.39,확정(B),증감 (B-A) (B-A)/A,23739.0,2038.0,1,직접수행,고용노동부
17,내일배움카드(고보),고용노동부,고용노동부,사회복지,고용,직업능력개발,고용보험기금,직접,508979.0,5089.79,정부안,확정(B),508979.0,508979.0,3,직접수행,고용노동부(지방고용노동관서)
18,내일배움카드(일반),고용노동부,고용노동부,사회복지,고용,직업능력개발,일반회계,직접,627325.0,6273.25,정부안,확정(B),627325.0,627325.0,4,직접수행,고용노동부(지방고용노동관서)
19,노동위원회정보화운영(정보화),고용노동부,고용노동부,사회복지,고용노동일반,고용노동행정지원,일반회계,직접,2959.0,29.59,정부안,확정(B),5626.0,2959.0,1,직접수행,중앙노동위원회
20,디지털 기반의 고용서비스 인프라 지원(정보화),고용노동부,고용노동부,사회복지,고용,고용창출,일반회계,출연,7523.0,75.23,정부안,확정(B),7523.0,7523.0,3,출연,한국고용정보원
21,미래환경변화대응 산업안전보건 연구개발(R&D),고용노동부,고용노동부,사회복지,노동,산업재해예방,산업재해보상보험 및 예방기금,출연,1554.0,15.54,정부안,확정(B),1554.0,1554.0,1,출연,한국산업안전보건공단
22,사업주직업훈련지원금,고용노동부,고용노동부,사회복지,고용,직업능력개발,고용보험기금,"직접, 출연, 보조",249668.0,2496.68,정부안,확정(B),249668.0,249668.0,2,"직접수행, 보조, 출연",고용노동부(한국산업인력공단)
23,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),고용노동부,고용노동부,사회복지,고용,고용창출,일반회계,출연,11101.0,111.01,정부안,확정(B),9601.0,11101.0,4,출연,한국고용정보원
24,직업능력개발담당자양성 및 훈련매체개발,고용노동부,고용노동부,사회복지,고용,직업능력개발,일반회계,출연,82080.0,820.8,정부안,확정(B),78970.0,82080.0,3,출연,한국기술교육대학교
25,직업능력개발심사평가,고용노동부,고용노동부,사회복지,고용,직업능력개발,일반회계,직접,23024.0,230.24,정부안,확정(B),23024.0,23024.0,3,직접수행,고용노동부(한국기술대학교 직업능력심사평가원 위탁)
26,취약노동자지원,고용노동부,고용노동부,보건·복지·고용,노동,노사정책,일반회계,"직접, 출연, 보조",25345.0,253.45,정부안,확정(B),14795.0,25345.0,3,"직접수행, 보조 등",고용노동부 등
27,4대 지역외 AX 대전환 기획,과학기술정보통신부,과학기술정보통신부,통신,정보통신,지역경제활성화,일반회계,출연,2500.0,25.0,요구안,본예산(B),2500.0,2500.0,1,출연,정보통신산업진흥원
28,AGI 준비 프로젝트,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출자,20000.0,200.0,요구안,본예산(B),20000.0,20000.0,1,출자,한국산업은행 경유출자 등을 통해 차세대 AI 연구조직 초기 투자
29,AI AGENT 선도 국가 사업,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,20000.0,200.0,요구안,본예산(B),20000.0,20000.0,2,출연,"한국지능정보사회진흥원, 정보통신산업진흥원"
30,AI·공간컴퓨팅 창업 생태계 활성화,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,1500.0,15.0,요구안,본예산(B),1500.0,1500.0,1,출연,정보통신산업진흥원
31,AI 기반 뇌발달질환 디지털의료기기 실증지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,5000.0,50.0,요구안,본예산(B),5000.0,5000.0,1,출연,정보통신산업진흥원
32,AI 기반 민군 유·무인복합체계 주파수 공동사용 및 운용 기술 개발,과학기술정보통신부,과학기술정보통신부,문화 및 관광,문화예술,정보통신방송기반조성,일반회계,출연,2800.0,28.0,요구안,본예산(B),2800.0,2800.0,1,출연,정보통신기획평가원(IITP)
33,AI 기반 주파수 간섭분석 및 전파 예측기술 개발,과학기술정보통신부,과학기술정보통신부,통신,방송통신,전파활용방송서비스산업,일반회계,"직접, 출연",3670.0,36.7,요구안,본예산(B),3070.0,3670.0,1,"직접수행, 출연","과학기술정보통신부 국립전파연구원, 정보통신기획평가원"
34,AI반도체실증지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,113370.0,1133.7,요구안,본예산(B),102370.0,113370.0,2,출연,정보통신산업진흥원(NIPA)
35,AI반도체 지원플랫폼,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,2250.0,22.5,요구안,본예산(B),2250.0,2250.0,1,출연,정보통신산업진흥원
36,AI 분야 오픈소스 생태계 조성,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,일반회계,출연,11000.0,110.0,요구안,본예산(B),11000.0,11000.0,1,출연,정보통신산업진흥원
37,A I 융합 OTT 글로벌 진출 확산 지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능테이터진흥,일반회계,보조,1200.0,12.0,요구안,본예산(B),,1200.0,1,민간경상보조,한국정보통신진흥협회
38,AI+S&T혁신기술개발(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,미래유망원천기술개발,일반회계,출연,4500.0,45.0,요구안,본예산(B),4500.0,4500.0,1,출연,한국연구재단
39,AI-RAN 글로벌 선도 프로젝트(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,9000.0,90.0,요구안,본예산(B),9000.0,9000.0,1,출연,정보통신기획평가원
40,AI-네이티브 첨단바이오 자율실험실(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,미래유망원천기술개발,일반회계,출연,13500.0,135.0,요구안,본예산(B),13500.0,13500.0,1,출연,한국연구재단
41,AIxBio 혁신 연구거점 조성 시범사업(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,미래유망원천기술개발,일반회계,출연,10200.0,102.0,요구안,본예산(B),10200.0,10200.0,1,출연,한국연구재단
42,AI·SW중심대학,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,고등·평생교육 지원특별회계,출연,117960.0,1179.6,요구안,본예산(B),117960.0,117960.0,2,출연,정보통신기획평가원(IITP)
43,AI·블록체인융합기반자율형 고신뢰핵심기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인터넷융합산업,일반회계,출연,3246.0,32.46,요구안,본예산(B),2000.0,3246.0,1,출연,정보통신기획평가원
44,AI기반개방형자율디지털트윈핵심 기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인터넷융합산업,일반회계,출연,6600.0,66.0,요구안,본예산(B),6600.0,6600.0,1,출연,정보통신기획평가원
45,AI기반 맞춤형 케어서비스 융합선도,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,3000.0,30.0,요구안,본예산(B),3000.0,3000.0,1,출연,정보통신기획평가원
46,AI기반안전관리분야 디지털트윈선도,과학기술정보통신부,과학기술정보통신부,기타,공공질서·안전,인터넷융합사업,일반회계,출연,6000.0,60.0,요구안,본예산(B),6000.0,6000.0,1,출연,한국지능정보사회진흥원
47,AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용,과학기술정보통신부,과학기술정보통신부,산업·중소기업 및 에너지,산업혁신 지원,지역경제활성화,지역균형발전 특별회계,출연,2385.0,23.85,요구안,본예산(B),2385.0,2385.0,1,출연,정보통신사업진흥원
48,AI 기반 침해대응체계 구축,과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보보호및활용,일반회계,출연,15000.0,150.0,요구안,본예산(B),15000.0,15000.0,1,출연,한국인터넷진흥원
49,AI기반가상융합산업육성,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,방송통신 발전기금,출연,4500.0,45.0,요구안,본예산(B),4500.0,4500.0,1,출연,정보통신산업진흥원
50,AI기반 개방형 5G-A 융합서비스 테스트베드 구축운영(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,7000.0,70.0,요구안,본예산(B),7000.0,7000.0,1,출연,"(전문기관) 정보통신기획평가원, (주관기관) 한국지능정보사회진흥원"
51,AI기반디지털가상핵융합플랫 폼개발(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,미래유망원천기술개발,일반회계,출연,4500.0,45.0,요구안,본예산(B),4500.0,4500.0,1,출연,"과학기술정보통신부, 한국연구재단"
52,AI반도체기반데이터센터 고도화선도기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,8362.0,83.62,요구안,본예산(B),8362.0,8362.0,1,출연,정보통신기획평가원
53,AI반도체를 활용한 K-클라우드 기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출자,60751.0,607.51,요구안,본예산(B),60751.0,60751.0,1,출연,정보통신기획평가원
54,AI반도체첨단이종집적 기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,정보통신 진흥기금,출연,7342.0,73.42,요구안,본예산(B),7342.0,7342.0,1,출연,정보통신기획평가원
55,AI산업육성,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,정보통신 진흥기금,출연,21855.0,218.55,요구안,조정안(B),21855.0,21855.0,1,출연,과학기술정보통신부(정보통신산업진흥원)
56,AI생태계보안내재화 핵심기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보보호및활용,일반회계,출연,3600.0,36.0,요구안,본예산(B),3600.0,3600.0,1,출연,정보통신기획평가원
57,AI선박 특화 플랫폼 및 애플리케이션 개발·실증,과학기술정보통신부,과학기술정보통신부,통신,정보통신,지역경제활성화,정보통신 진흥기금,출연,5000.0,50.0,요구안,본예산(B),5000.0,5000.0,1,출연(국비:지방비=2:1매칭),정보통신산업진흥원
58,AI연구용 컴퓨팅 지원 프로젝트(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,16000.0,160.0,요구안,본예산(B),16000.0,16000.0,1,출연,정보통신기획평가원(IITP)
59,AI융합 지능형 농업 생태계 구축,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,4207.0,42.07,요구안,본예산(B),4207.0,4207.0,1,출연,정보통신산업진흥원
60,AI응용제품신속상용화지원사업 (보안·네트워크·생활 등),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,40500.0,405.0,요구안,본예산(B),60000.0,40500.0,3,출연,"정보통신산업진흥원, 한국지능정보사회진흥원, 한국인터넷진흥원"
61,AI일상화 확산,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,8296.0,82.96,요구안,본예산(B),8296.0,8296.0,3,출연,정보통신산업진흥원
62,AI정밀의료SW선도기반조성,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,일반회계,출연,12650.0,126.5,요구안,본예산(B),11950.0,12650.0,1,출연,정보통신산업진흥원
63,AI최고급신진연구자지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,일반회계,출연,34000.0,340.0,요구안,본예산(B),34000.0,34000.0,1,출연,정보통신기획평가원
64,AI컴퓨팅자원활용기반강화,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,2108725.0,21087.25,요구안,본예산(B),2108725.0,2108725.0,3,출연,"정보통신산업진흥원, 한국지능정보사회진흥원"
65,AI 클라우드 경쟁력강화 기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,6000.0,60.0,요구안,본예산(B),6000.0,6000.0,1,출연 (총사업비(국비)의 100%이내 정부매칭),정보통신기획평가원(전담기관)
66,AI통합바우처,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,정보통신 진흥기금,"출연, 보조",89775.0,897.75,요구안,본예산(B),89775.0,89775.0,5,"출연, 보조","정보통신산업진흥원, 한국데이터산업진흥원"
67,A I혁신을 위한 데이터안전활용 지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,5000.0,50.0,요구안,본예산(B),5000.0,5000.0,1,출연,한국지능정보사회진흥원
68,AI 활용 미인증 기자재 온라인 모니터링 시스템 구축,과학기술정보통신부,과학기술정보통신부,통신,방송통신,전파활용방송서비스산업,일반회계,직접,76.0,0.76,요구안,본예산(B),76.0,76.0,1,직접수행,과학기술정보통신부 중앙전파관리소
69,AX혁신기업창의기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,7500.0,75.0,요구안,본예산(B),7500.0,7500.0,1,출연,정보통신기획평가원
70,AX실증밸리조성(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,22623.0,226.23,요구안,본예산(B),16967.0,22623.0,1,출연,정보통신산업진흥원
71,ICT 전략융합 R&D 바우처 지원(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,6900.0,69.0,요구안,조정안(B),6900.0,6900.0,1,출연,정보통신기획평가원
72,ICT기반 디지털서비스 탄소중립 혁신기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,5625.0,56.25,요구안,조정안(B),5625.0,5625.0,1,출연,정보통신기획평가원
73,ICT융합 지능 디바이스 개발 활성화 및 확산 기반구축(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,정보통신융합산업,일반회계,출연,4000.0,40.0,요구안,본예산(B),4000.0,4000.0,1,출연,정보통신기획평가원
74,K-AI 네트워크 경쟁력 강화,과학기술정보통신부,과학기술정보통신부,통신,정보통신,통신정책지원,일반회계,출연,2500.0,25.0,요구안,본예산(B),,2500.0,1,출연,한국지능정보사회진흥원
75,K-Health 국민의료 AI서비스 및 산업생태계 구축,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,6600.0,66.0,요구안,본예산(B),3600.0,6600.0,1,출연,정보통신산업진흥원
76,PIM인공지능반도체 핵심기술개발(설계),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,27014.0,270.14,요구안,본예산(B),27014.0,27014.0,1,출연,정보통신기획평가원
77,SW컴퓨팅산업원천기술개발,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,정보통신 진흥기금,출연,77201.0,772.01,요구안,본예산(B),77201.0,77201.0,5,출연 (총사업비의 3/4이내 정부매칭),정보통신기획평가원(전담기관)
78,World Best LLM 데이터 활용 지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,30000.0,300.0,요구안,본예산(B),30000.0,30000.0,1,출연,한국지능정보사회진흥원(NIA)
79,가상융합기반피지컬AI 핵심기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,5063.0,50.63,요구안,본예산(B),5063.0,5063.0,1,"직접수행, 보조, 융자, 출연, 출자 등",사업 시행 기관명 적시
80,가상융합지능화핵심기술개발 (R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,10000.0,100.0,요구안,본예산(B),10000.0,10000.0,1,출연(총사업비의 3/4이내 정부매칭),정보통신기획평가원(IITP)
81,강원 의료 AX 산업 실증 허브 조성,과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,인공지능데이터진흥,지역균형발전 특별회계,출연,2000.0,20.0,요구안,본예산(B),2000.0,2000.0,1,출연,정보통신산업진흥원
82,거대인공신경망인공지능 반도체SW기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,4800.0,48.0,요구안,본예산(B),4800.0,4800.0,1,출연,정보통신기획평가원
83,건전정보문화조성,과학기술정보통신부,과학기술정보통신부,일반·지방행정,정부자원관리,국가사회정보화,일반회계,출연,10157.0,101.57,요구안,본예산(B),10157.0,10157.0,4,출연,"한국지능정보사회진흥원, 한국인터넷진흥원"
84,경량·저전력AI한계극복기술 개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,9000.0,90.0,요구안,본예산(B),9000.0,9000.0,1,출연,한국연구재단 부설 정보통신기획평가원
85,경쟁형 AI 혁신인재 성장 지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,일반회계,출연,13000.0,130.0,요구안,본예산(B),13000.0,13000.0,1,출연,정보통신산업진흥원
86,고성능 AI(Hyper-AI) 네트워크 기반조성 사업,과학기술정보통신부,과학기술정보통신부,통신,정보통신,통신정책지원,일반회계,출연,8300.0,83.0,요구안,본예산(B),8300.0,8300.0,1,출연,한국지능정보사회진흥원(NIA)
87,공공AX 프로젝트,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,60000.0,600.0,요구안,본예산(B),60000.0,60000.0,1,출연,과학기술정보통신부(정보통신산업진흥원)
88,공공행정서비스혁신기술개발(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,사회문제해결,일반회계,출연,9804.0,98.04,요구안,본예산(B),11054.0,9804.0,1,출연,"한국연구재단, 과학치안진흥센터"
89,공존가능한 신뢰 AI를 위한 AI Safety 기술개발,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,7950.0,79.5,요구안,본예산(B),7950.0,7950.0,1,출연,정보통신기획평가원
90,과학기술혁신인재양성(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 인력 및 문화,과학기술인력양성,일반회계,출연,76881.0,768.81,요구안,본예산(B),76881.0,76881.0,3,출연,"한국연구재단, 과학기술일자리진흥원/대학(원), 센터, 연구기관, 출연(연) 등"
91,과학기술혁신정책지원(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,과학기술혁신지원,일반회계,출연,8936.0,89.36,요구안,본예산(B),9139.0,8936.0,1,출연(100%),한국과학기술기획평가원
92,광주 AI 실증도시 실현(기본계획 수립 용역비),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,500.0,5.0,요구안,본예산(B),,500.0,1,출연,정보통신산업진흥원(NIPA)
93,광주과학기술원 연구운영비 지원(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,출연연구 기관지원,일반회계,출연,120610.0,1206.1,요구안,본예산(B),117461.0,120610.0,1,출연,광주과학기술원
94,국가 AI데이터센터 고도화,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,19151.0,191.51,요구안,본예산(B),,19151.0,1,출연,정보통신산업진흥원(NIPA)
95,국가 NPU전용 컴퓨팅센터 광주 설립(설계비),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,600.0,6.0,요구안,본예산(B),600.0,600.0,1,출연,정보통신산업진흥원
96,국가 데이터 인프라 기반 데이터 혁신(Data-X) 지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,7000.0,70.0,요구안,본예산(B),7000.0,7000.0,1,출연,한국지능정보사회진흥원
97,국가 플래그십 초고성능컴퓨팅 인프라 고도화(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,미래유망원천기술개발,일반회계,출연,68431.0,684.31,요구안,본예산(B),68431.0,68431.0,1,출연,한국연구재단
98,국가과학기술연구회 연구운영비 지원(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,출연연구 기관지원,일반회계,출연,360849.0,3608.49,요구안,본예산(B),370614.0,360849.0,1,"출연, 직접수행",국가과학기술연구회
99,국가수리과학연구소 연구운영비 지원(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,출연연구 기관지원,일반회계,출연,13216.0,132.16,요구안,본예산(B),13216.0,13216.0,1,출연,국가수리과학연구소
100,국가지식정보 연계 및 활용 촉진(정보화),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인터넷융합산업,일반회계,출연,3300.0,33.0,요구안,본예산(B),3300.0,3300.0,1,출연,한국지능정보사회진흥원
101,국방인공지능핵심기술개발(R&D),과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,2926.0,29.26,요구안,본예산(B),2926.0,2926.0,1,출연,정보통신기획평가원
102,국산 AI반도체 기반 마이크로 데이터센터 확산,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,일반회계,출연,7000.0,70.0,요구안,본예산(B),7000.0,7000.0,4,출연,정보통신기획평가원
103,국산 NPU 기반 AI CCTV 전환,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인터넷융합산업,일반회계,출연,10000.0,100.0,요구안,본예산(B),10000.0,10000.0,1,출연,한국지능정보사회진흥원
104,글로벌제조융합SW개발및실증(R&D),과학기술정보통신부,과학기술정보통신부,산업·중소기업 및 에너지,산업혁신 지원,지역경제활성화,지역균형발전 특별회계,출연,13500.0,135.0,요구안,본예산(B),13500.0,13500.0,1,출연,정보통신기획평가원
105,나노․소재기술개발(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구개발,미래유망원천기술개발,소재부품장비 경쟁력강화 특별회계,출연,330746.0,3307.46,요구안,본예산(B),330746.0,330746.0,1,출연,한국연구재단
106,대구경북과학기술원 시설 지원(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,출연연구 기관지원,일반회계,출연,11707.0,117.07,요구안,본예산(B),10742.0,11707.0,1,출연,대구경북과학기술원
107,대구경북과학기술원 연구운영비 지원(R&D),과학기술정보통신부,과학기술정보통신부,과학기술,과학기술 연구지원,출연연구 기관지원,일반회계,출연,116367.0,1163.67,요구안,본예산(B),115367.0,116367.0,1,출연,대구경북과학기술원
108,대학디지털교육역량강화,과학기술정보통신부,과학기술정보통신부,통신,정보통신,SW산업진흥,정보통신 진흥기금,출연,12031.0,120.31,요구안,본예산(B),120310.0,12031.0,2,출연,정보통신기획평가원(IITP)
109,데이터 활용 의료·건강 생태계조성,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,지역균형발전 특별회계,출연,5000.0,50.0,요구안,본예산(B),5000.0,5000.0,1,출연,정보통신산업진흥원
110,데이터 활용확산 정책지원,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,정보통신 진흥기금,보조,1277.0,12.77,요구안,본예산(B),1277.0,1277.0,2,"보조, 위탁","한국데이터산업진흥원(보조·민간위탁), 한국데이터산업협회(민간위탁)"
111,데이터경제인프라구축,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,정보통신 진흥기금,"직접, 출연, 보조",33511.0,335.11,요구안,본예산(B),33511.0,33511.0,4,"직접수행, 출연, 보조","과학기술정보통신부(직접), 한국지능정보사회진흥원(출연), 한국데이터산업진흥원(보조)"
112,데이터기반산업경쟁력강화,과학기술정보통신부,과학기술정보통신부,통신,정보통신,인공지능데이터진흥,방송통신 발전기금,"출연, 보조",10399.0,103.99,요구안,본예산(B),10399.0,10399.0,2,"보조, 출연","한국데이터산업진흥원, 한국지능정보사회진흥원, 한국인터넷진흥원"
